weight_monotonicity, weight_smoothness, weight_empty, weight_max_corner, weight_max_tile, weight_node_average, weight_node_access, score, max_tile
1.48, 2.27, 1.28, 1.06, 1.29, 0.14, 0.25, 4616, 512
1.48, 2.27, 1.28, 1.06, 1.29, 0.14, 0.25, 5700, 512
1.98, 2.36, 0.94, 0.44, 0.87, 0.15, 0.19, 1572, 128
1.98, 2.36, 0.94, 0.44, 0.87, 0.15, 0.19, 4828, 256
1.98, 2.36, 0.94, 0.44, 0.87, 0.15, 0.19, 6708, 512
1.98, 2.36, 0.94, 0.44, 0.87, 0.15, 0.19, 6660, 512
1.98, 2.36, 0.94, 0.44, 0.87, 0.15, 0.19, 10488, 1024
2.36, 2.08, 1.68, 1.02, 0.87, 1.52, 0.2, 4092, 256
2.36, 2.08, 1.68, 1.02, 0.87, 1.52, 0.2, 6960, 512
2.36, 2.08, 1.68, 1.02, 0.87, 1.52, 0.2, 6984, 512
2.36, 2.08, 1.68, 1.02, 0.87, 1.52, 0.2, 7280, 512
2.36, 2.08, 1.68, 1.02, 0.87, 1.52, 0.2, 10240, 1024
2.77, 1.35, 0.54, 1.04, 0.35, 0.81, 0.13, 4168, 256
2.77, 1.35, 0.54, 1.04, 0.35, 0.81, 0.13, 10328, 1024
2.77, 1.35, 0.54, 1.04, 0.35, 0.81, 0.13, 11556, 1024
2.77, 1.35, 0.54, 1.04, 0.35, 0.81, 0.13, 13948, 1024
2.77, 1.35, 0.54, 1.04, 0.35, 0.81, 0.13, 14292, 1024
2.24, 1.07, 0.95, 0.76, 0.93, 1.63, 0.2, 2936, 256
2.24, 1.07, 0.95, 0.76, 0.93, 1.63, 0.2, 6196, 512
2.24, 1.07, 0.95, 0.76, 0.93, 1.63, 0.2, 6336, 512
2.24, 1.07, 0.95, 0.76, 0.93, 1.63, 0.2, 11624, 1024
2.24, 1.07, 0.95, 0.76, 0.93, 1.63, 0.2, 15116, 1024
2.06, 0.8, 1.84, 1.15, 0.22, 1.14, 0.05, 3140, 256
2.06, 0.8, 1.84, 1.15, 0.22, 1.14, 0.05, 5840, 512
2.06, 0.8, 1.84, 1.15, 0.22, 1.14, 0.05, 11180, 1024
2.06, 0.8, 1.84, 1.15, 0.22, 1.14, 0.05, 11916, 1024
2.06, 0.8, 1.84, 1.15, 0.22, 1.14, 0.05, 13844, 1024
1.57, 2.75, 1.22, 1.34, 0.87, 1.09, 0.12, 5468, 512
1.57, 2.75, 1.22, 1.34, 0.87, 1.09, 0.12, 5844, 512
1.57, 2.75, 1.22, 1.34, 0.87, 1.09, 0.12, 7096, 512
1.57, 2.75, 1.22, 1.34, 0.87, 1.09, 0.12, 7064, 512
1.57, 2.75, 1.22, 1.34, 0.87, 1.09, 0.12, 12080, 1024
1.0, 1.35, 1.52, 0.62, 1.1, 0.75, 0.07, 5432, 512
1.0, 1.35, 1.52, 0.62, 1.1, 0.75, 0.07, 5460, 512
1.0, 1.35, 1.52, 0.62, 1.1, 0.75, 0.07, 6420, 512
1.0, 1.35, 1.52, 0.62, 1.1, 0.75, 0.07, 7128, 512
1.0, 1.35, 1.52, 0.62, 1.1, 0.75, 0.07, 9708, 1024
1.3, 0.7, 0.59, 0.64, 1.02, 0.99, 0.27, 6264, 512
1.3, 0.7, 0.59, 0.64, 1.02, 0.99, 0.27, 6564, 512
1.3, 0.7, 0.59, 0.64, 1.02, 0.99, 0.27, 7276, 512
1.3, 0.7, 0.59, 0.64, 1.02, 0.99, 0.27, 14340, 1024
1.3, 0.7, 0.59, 0.64, 1.02, 0.99, 0.27, 15804, 1024
2.7, 2.73, 1.18, 0.43, 0.12, 1.56, 0.3, 3004, 256
2.7, 2.73, 1.18, 0.43, 0.12, 1.56, 0.3, 5456, 512
2.7, 2.73, 1.18, 0.43, 0.12, 1.56, 0.3, 9372, 512
2.7, 2.73, 1.18, 0.43, 0.12, 1.56, 0.3, 10400, 1024
2.7, 2.73, 1.18, 0.43, 0.12, 1.56, 0.3, 12700, 1024
1.13, 2.68, 1.52, 0.55, 0.83, 1.92, 0.09, 1344, 128
1.13, 2.68, 1.52, 0.55, 0.83, 1.92, 0.09, 2584, 256
1.13, 2.68, 1.52, 0.55, 0.83, 1.92, 0.09, 2780, 256
1.13, 2.68, 1.52, 0.55, 0.83, 1.92, 0.09, 5320, 512
1.13, 2.68, 1.52, 0.55, 0.83, 1.92, 0.09, 10492, 1024
2.58, 1.77, 0.81, 0.34, 1.33, 1.86, 0.17, 3092, 256
2.58, 1.77, 0.81, 0.34, 1.33, 1.86, 0.17, 5404, 512
2.58, 1.77, 0.81, 0.34, 1.33, 1.86, 0.17, 9292, 512
2.58, 1.77, 0.81, 0.34, 1.33, 1.86, 0.17, 11884, 1024
2.58, 1.77, 0.81, 0.34, 1.33, 1.86, 0.17, 12272, 1024
1.22, 1.74, 0.67, 0.18, 1.06, 0.54, 0.06, 952, 128
1.22, 1.74, 0.67, 0.18, 1.06, 0.54, 0.06, 2936, 256
1.22, 1.74, 0.67, 0.18, 1.06, 0.54, 0.06, 4084, 256
1.22, 1.74, 0.67, 0.18, 1.06, 0.54, 0.06, 7284, 512
1.22, 1.74, 0.67, 0.18, 1.06, 0.54, 0.06, 15380, 1024
2.33, 1.19, 1.1, 0.42, 0.7, 1.37, 0.35, 2668, 256
2.33, 1.19, 1.1, 0.42, 0.7, 1.37, 0.35, 6620, 512
2.33, 1.19, 1.1, 0.42, 0.7, 1.37, 0.35, 11432, 1024
2.33, 1.19, 1.1, 0.42, 0.7, 1.37, 0.35, 11740, 1024
2.33, 1.19, 1.1, 0.42, 0.7, 1.37, 0.35, 11720, 1024
2.95, 2.65, 1.87, 0.88, 1.41, 1.48, 0.37, 5336, 512
2.95, 2.65, 1.87, 0.88, 1.41, 1.48, 0.37, 5224, 256
2.95, 2.65, 1.87, 0.88, 1.41, 1.48, 0.37, 10300, 1024
2.95, 2.65, 1.87, 0.88, 1.41, 1.48, 0.37, 11716, 1024
2.95, 2.65, 1.87, 0.88, 1.41, 1.48, 0.37, 11880, 1024
1.11, 2.78, 0.51, 0.98, 1.23, 0.5, 0.12, 2888, 256
1.11, 2.78, 0.51, 0.98, 1.23, 0.5, 0.12, 3084, 256
1.11, 2.78, 0.51, 0.98, 1.23, 0.5, 0.12, 3212, 256
1.11, 2.78, 0.51, 0.98, 1.23, 0.5, 0.12, 4612, 512
1.11, 2.78, 0.51, 0.98, 1.23, 0.5, 0.12, 4308, 256
1.19, 1.79, 1.9, 1.32, 0.69, 1.29, 0.31, 2360, 256
1.19, 1.79, 1.9, 1.32, 0.69, 1.29, 0.31, 3400, 256
1.19, 1.79, 1.9, 1.32, 0.69, 1.29, 0.31, 4548, 512
1.19, 1.79, 1.9, 1.32, 0.69, 1.29, 0.31, 6360, 512
1.19, 1.79, 1.9, 1.32, 0.69, 1.29, 0.31, 11452, 1024
2.17, 1.38, 1.49, 1.15, 0.89, 1.67, 0.23, 4304, 256
2.17, 1.38, 1.49, 1.15, 0.89, 1.67, 0.23, 6800, 512
2.17, 1.38, 1.49, 1.15, 0.89, 1.67, 0.23, 7032, 512
2.17, 1.38, 1.49, 1.15, 0.89, 1.67, 0.23, 7084, 512
2.17, 1.38, 1.49, 1.15, 0.89, 1.67, 0.23, 11848, 1024
1.33, 1.8, 1.88, 0.61, 1.0, 1.94, 0.13, 4436, 512
1.33, 1.8, 1.88, 0.61, 1.0, 1.94, 0.13, 10592, 1024
1.33, 1.8, 1.88, 0.61, 1.0, 1.94, 0.13, 11136, 1024
1.33, 1.8, 1.88, 0.61, 1.0, 1.94, 0.13, 12108, 1024
1.33, 1.8, 1.88, 0.61, 1.0, 1.94, 0.13, 15304, 1024
1.06, 1.45, 1.64, 1.19, 1.32, 0.54, 0.28, 3172, 256
1.06, 1.45, 1.64, 1.19, 1.32, 0.54, 0.28, 3352, 256
1.06, 1.45, 1.64, 1.19, 1.32, 0.54, 0.28, 4132, 256
1.06, 1.45, 1.64, 1.19, 1.32, 0.54, 0.28, 6164, 512
1.06, 1.45, 1.64, 1.19, 1.32, 0.54, 0.28, 7136, 512
1.27, 0.87, 0.99, 0.17, 0.19, 1.95, 0.29, 5328, 512
1.27, 0.87, 0.99, 0.17, 0.19, 1.95, 0.29, 5620, 512
1.27, 0.87, 0.99, 0.17, 0.19, 1.95, 0.29, 7160, 512
1.27, 0.87, 0.99, 0.17, 0.19, 1.95, 0.29, 9760, 1024
1.27, 0.87, 0.99, 0.17, 0.19, 1.95, 0.29, 12068, 1024
1.09, 1.2, 1.12, 1.47, 0.18, 1.73, 0.28, 6616, 512
1.09, 1.2, 1.12, 1.47, 0.18, 1.73, 0.28, 6860, 512
1.09, 1.2, 1.12, 1.47, 0.18, 1.73, 0.28, 10768, 1024
1.09, 1.2, 1.12, 1.47, 0.18, 1.73, 0.28, 12140, 1024
1.09, 1.2, 1.12, 1.47, 0.18, 1.73, 0.28, 12140, 1024
2.94, 1.84, 1.84, 1.24, 1.37, 0.76, 0.14, 1540, 128
2.94, 1.84, 1.84, 1.24, 1.37, 0.76, 0.14, 3728, 256
2.94, 1.84, 1.84, 1.24, 1.37, 0.76, 0.14, 5308, 512
2.94, 1.84, 1.84, 1.24, 1.37, 0.76, 0.14, 4848, 256
2.94, 1.84, 1.84, 1.24, 1.37, 0.76, 0.14, 5720, 512
1.0, 1.39, 0.99, 0.82, 0.42, 1.84, 0.28, 1136, 128
1.0, 1.39, 0.99, 0.82, 0.42, 1.84, 0.28, 6092, 512
1.0, 1.39, 0.99, 0.82, 0.42, 1.84, 0.28, 10400, 1024
1.0, 1.39, 0.99, 0.82, 0.42, 1.84, 0.28, 11320, 1024
1.0, 1.39, 0.99, 0.82, 0.42, 1.84, 0.28, 11708, 1024
1.78, 1.44, 1.78, 0.63, 0.57, 1.44, 0.08, 2744, 256
1.78, 1.44, 1.78, 0.63, 0.57, 1.44, 0.08, 3532, 256
1.78, 1.44, 1.78, 0.63, 0.57, 1.44, 0.08, 5316, 512
1.78, 1.44, 1.78, 0.63, 0.57, 1.44, 0.08, 6328, 512
1.78, 1.44, 1.78, 0.63, 0.57, 1.44, 0.08, 6936, 512
2.85, 2.47, 1.08, 0.34, 0.21, 1.62, 0.21, 4180, 256
2.85, 2.47, 1.08, 0.34, 0.21, 1.62, 0.21, 4012, 256
2.85, 2.47, 1.08, 0.34, 0.21, 1.62, 0.21, 6216, 512
2.85, 2.47, 1.08, 0.34, 0.21, 1.62, 0.21, 6840, 512
2.85, 2.47, 1.08, 0.34, 0.21, 1.62, 0.21, 12172, 1024
1.19, 1.19, 1.08, 0.48, 0.59, 1.87, 0.37, 2996, 256
1.19, 1.19, 1.08, 0.48, 0.59, 1.87, 0.37, 3036, 256
1.19, 1.19, 1.08, 0.48, 0.59, 1.87, 0.37, 4676, 512
1.19, 1.19, 1.08, 0.48, 0.59, 1.87, 0.37, 5356, 512
1.19, 1.19, 1.08, 0.48, 0.59, 1.87, 0.37, 10780, 1024
1.96, 1.05, 1.93, 1.35, 0.5, 0.76, 0.12, 3416, 256
1.96, 1.05, 1.93, 1.35, 0.5, 0.76, 0.12, 3808, 256
1.96, 1.05, 1.93, 1.35, 0.5, 0.76, 0.12, 4528, 256
1.96, 1.05, 1.93, 1.35, 0.5, 0.76, 0.12, 5368, 512
1.96, 1.05, 1.93, 1.35, 0.5, 0.76, 0.12, 7068, 512
2.57, 1.31, 1.92, 1.1, 1.3, 1.07, 0.36, 2840, 256
2.57, 1.31, 1.92, 1.1, 1.3, 1.07, 0.36, 4876, 256
2.57, 1.31, 1.92, 1.1, 1.3, 1.07, 0.36, 6096, 512
2.57, 1.31, 1.92, 1.1, 1.3, 1.07, 0.36, 6340, 512
2.57, 1.31, 1.92, 1.1, 1.3, 1.07, 0.36, 7040, 512
2.27, 2.49, 0.82, 1.14, 0.88, 1.07, 0.15, 3132, 256
2.27, 2.49, 0.82, 1.14, 0.88, 1.07, 0.15, 4792, 512
2.27, 2.49, 0.82, 1.14, 0.88, 1.07, 0.15, 5192, 512
2.27, 2.49, 0.82, 1.14, 0.88, 1.07, 0.15, 10420, 1024
2.27, 2.49, 0.82, 1.14, 0.88, 1.07, 0.15, 13168, 1024
1.43, 1.2, 1.0, 0.32, 1.21, 1.13, 0.37, 4008, 256
1.43, 1.2, 1.0, 0.32, 1.21, 1.13, 0.37, 6416, 512
1.43, 1.2, 1.0, 0.32, 1.21, 1.13, 0.37, 6844, 512
1.43, 1.2, 1.0, 0.32, 1.21, 1.13, 0.37, 11876, 1024
1.43, 1.2, 1.0, 0.32, 1.21, 1.13, 0.37, 12148, 1024
1.96, 2.05, 1.98, 0.94, 0.55, 1.07, 0.08, 5704, 512
1.96, 2.05, 1.98, 0.94, 0.55, 1.07, 0.08, 6016, 512
1.96, 2.05, 1.98, 0.94, 0.55, 1.07, 0.08, 6040, 512
1.96, 2.05, 1.98, 0.94, 0.55, 1.07, 0.08, 13124, 1024
1.96, 2.05, 1.98, 0.94, 0.55, 1.07, 0.08, 16380, 1024
1.7, 1.29, 1.5, 0.24, 1.45, 0.4, 0.24, 3152, 256
1.7, 1.29, 1.5, 0.24, 1.45, 0.4, 0.24, 3176, 256
1.7, 1.29, 1.5, 0.24, 1.45, 0.4, 0.24, 9300, 512
1.7, 1.29, 1.5, 0.24, 1.45, 0.4, 0.24, 11840, 1024
1.7, 1.29, 1.5, 0.24, 1.45, 0.4, 0.24, 12044, 1024
2.18, 2.74, 0.76, 0.96, 0.62, 1.84, 0.23, 648, 64
2.18, 2.74, 0.76, 0.96, 0.62, 1.84, 0.23, 4496, 256
2.18, 2.74, 0.76, 0.96, 0.62, 1.84, 0.23, 6568, 512
2.18, 2.74, 0.76, 0.96, 0.62, 1.84, 0.23, 7036, 512
2.18, 2.74, 0.76, 0.96, 0.62, 1.84, 0.23, 11424, 1024
2.68, 1.39, 1.65, 1.17, 1.18, 1.63, 0.23, 2908, 256
2.68, 1.39, 1.65, 1.17, 1.18, 1.63, 0.23, 3060, 256
2.68, 1.39, 1.65, 1.17, 1.18, 1.63, 0.23, 4320, 512
2.68, 1.39, 1.65, 1.17, 1.18, 1.63, 0.23, 5268, 512
2.68, 1.39, 1.65, 1.17, 1.18, 1.63, 0.23, 6420, 512
2.44, 0.95, 1.79, 0.47, 0.74, 0.76, 0.17, 5160, 512
2.44, 0.95, 1.79, 0.47, 0.74, 0.76, 0.17, 5288, 512
2.44, 0.95, 1.79, 0.47, 0.74, 0.76, 0.17, 5696, 512
2.44, 0.95, 1.79, 0.47, 0.74, 0.76, 0.17, 6440, 512
2.44, 0.95, 1.79, 0.47, 0.74, 0.76, 0.17, 8344, 512
1.65, 1.4, 1.43, 1.18, 1.06, 0.49, 0.33, 1608, 128
1.65, 1.4, 1.43, 1.18, 1.06, 0.49, 0.33, 3192, 256
1.65, 1.4, 1.43, 1.18, 1.06, 0.49, 0.33, 4800, 512
1.65, 1.4, 1.43, 1.18, 1.06, 0.49, 0.33, 5220, 512
1.65, 1.4, 1.43, 1.18, 1.06, 0.49, 0.33, 15384, 1024
1.44, 1.98, 1.0, 1.36, 0.97, 0.92, 0.34, 4848, 512
1.44, 1.98, 1.0, 1.36, 0.97, 0.92, 0.34, 5048, 256
1.44, 1.98, 1.0, 1.36, 0.97, 0.92, 0.34, 7228, 512
1.44, 1.98, 1.0, 1.36, 0.97, 0.92, 0.34, 10580, 1024
1.44, 1.98, 1.0, 1.36, 0.97, 0.92, 0.34, 10528, 1024
1.14, 2.69, 1.47, 0.7, 0.35, 1.75, 0.32, 5320, 512
1.14, 2.69, 1.47, 0.7, 0.35, 1.75, 0.32, 5612, 512
1.14, 2.69, 1.47, 0.7, 0.35, 1.75, 0.32, 6764, 512
1.14, 2.69, 1.47, 0.7, 0.35, 1.75, 0.32, 12252, 1024
1.14, 2.69, 1.47, 0.7, 0.35, 1.75, 0.32, 13236, 1024
1.59, 1.51, 0.8, 0.64, 0.15, 0.49, 0.39, 1316, 128
1.59, 1.51, 0.8, 0.64, 0.15, 0.49, 0.39, 5504, 512
1.59, 1.51, 0.8, 0.64, 0.15, 0.49, 0.39, 6288, 512
1.59, 1.51, 0.8, 0.64, 0.15, 0.49, 0.39, 6436, 512
1.59, 1.51, 0.8, 0.64, 0.15, 0.49, 0.39, 10012, 512
2.43, 0.72, 1.79, 0.2, 0.42, 1.82, 0.14, 4708, 256
2.43, 0.72, 1.79, 0.2, 0.42, 1.82, 0.14, 5588, 512
2.43, 0.72, 1.79, 0.2, 0.42, 1.82, 0.14, 6948, 512
2.43, 0.72, 1.79, 0.2, 0.42, 1.82, 0.14, 6868, 512
2.43, 0.72, 1.79, 0.2, 0.42, 1.82, 0.14, 9968, 1024
1.17, 2.72, 0.54, 1.23, 0.79, 0.9, 0.36, 4404, 256
1.17, 2.72, 0.54, 1.23, 0.79, 0.9, 0.36, 5064, 512
1.17, 2.72, 0.54, 1.23, 0.79, 0.9, 0.36, 6372, 512
1.17, 2.72, 0.54, 1.23, 0.79, 0.9, 0.36, 6912, 512
1.17, 2.72, 0.54, 1.23, 0.79, 0.9, 0.36, 7012, 512
1.25, 1.3, 1.05, 0.35, 0.29, 1.2, 0.4, 6352, 512
1.25, 1.3, 1.05, 0.35, 0.29, 1.2, 0.4, 6812, 512
1.25, 1.3, 1.05, 0.35, 0.29, 1.2, 0.4, 6880, 512
1.25, 1.3, 1.05, 0.35, 0.29, 1.2, 0.4, 7152, 512
1.25, 1.3, 1.05, 0.35, 0.29, 1.2, 0.4, 12220, 1024
1.44, 0.61, 1.76, 0.4, 0.68, 0.5, 0.29, 3104, 256
1.44, 0.61, 1.76, 0.4, 0.68, 0.5, 0.29, 6484, 512
1.44, 0.61, 1.76, 0.4, 0.68, 0.5, 0.29, 8396, 512
1.44, 0.61, 1.76, 0.4, 0.68, 0.5, 0.29, 10572, 1024
1.44, 0.61, 1.76, 0.4, 0.68, 0.5, 0.29, 15480, 1024
2.39, 2.26, 1.65, 1.25, 1.2, 1.02, 0.31, 3172, 256
2.39, 2.26, 1.65, 1.25, 1.2, 1.02, 0.31, 5924, 512
2.39, 2.26, 1.65, 1.25, 1.2, 1.02, 0.31, 7112, 512
2.39, 2.26, 1.65, 1.25, 1.2, 1.02, 0.31, 11972, 1024
2.39, 2.26, 1.65, 1.25, 1.2, 1.02, 0.31, 12080, 1024
1.5, 0.83, 0.76, 0.68, 1.47, 0.5, 0.34, 2584, 256
1.5, 0.83, 0.76, 0.68, 1.47, 0.5, 0.34, 4216, 256
1.5, 0.83, 0.76, 0.68, 1.47, 0.5, 0.34, 4616, 256
1.5, 0.83, 0.76, 0.68, 1.47, 0.5, 0.34, 5252, 512
1.5, 0.83, 0.76, 0.68, 1.47, 0.5, 0.34, 4736, 256
1.58, 2.56, 1.06, 0.84, 0.14, 1.22, 0.36, 1952, 128
1.58, 2.56, 1.06, 0.84, 0.14, 1.22, 0.36, 2696, 256
1.58, 2.56, 1.06, 0.84, 0.14, 1.22, 0.36, 5008, 512
1.58, 2.56, 1.06, 0.84, 0.14, 1.22, 0.36, 6780, 512
1.58, 2.56, 1.06, 0.84, 0.14, 1.22, 0.36, 12200, 1024
1.52, 1.71, 1.09, 0.56, 0.94, 1.7, 0.29, 5256, 512
1.52, 1.71, 1.09, 0.56, 0.94, 1.7, 0.29, 6704, 512
1.52, 1.71, 1.09, 0.56, 0.94, 1.7, 0.29, 6884, 512
1.52, 1.71, 1.09, 0.56, 0.94, 1.7, 0.29, 6840, 512
1.52, 1.71, 1.09, 0.56, 0.94, 1.7, 0.29, 12208, 1024
2.12, 2.1, 0.62, 1.44, 1.1, 0.57, 0.1, 2156, 256
2.12, 2.1, 0.62, 1.44, 1.1, 0.57, 0.1, 6408, 512
2.12, 2.1, 0.62, 1.44, 1.1, 0.57, 0.1, 6960, 512
2.12, 2.1, 0.62, 1.44, 1.1, 0.57, 0.1, 7200, 512
2.12, 2.1, 0.62, 1.44, 1.1, 0.57, 0.1, 11268, 1024
2.62, 2.08, 0.57, 0.27, 1.06, 0.19, 0.06, 1312, 128
2.62, 2.08, 0.57, 0.27, 1.06, 0.19, 0.06, 2312, 256
2.62, 2.08, 0.57, 0.27, 1.06, 0.19, 0.06, 9300, 512
2.62, 2.08, 0.57, 0.27, 1.06, 0.19, 0.06, 8776, 512
2.62, 2.08, 0.57, 0.27, 1.06, 0.19, 0.06, 12072, 1024
1.21, 0.65, 1.22, 1.23, 1.35, 1.09, 0.27, 5156, 512
1.21, 0.65, 1.22, 1.23, 1.35, 1.09, 0.27, 5420, 512
1.21, 0.65, 1.22, 1.23, 1.35, 1.09, 0.27, 5608, 512
1.21, 0.65, 1.22, 1.23, 1.35, 1.09, 0.27, 10424, 1024
1.21, 0.65, 1.22, 1.23, 1.35, 1.09, 0.27, 10604, 1024
