alpha,beta,score,max_tile
0.3, 0.05, 6504, 512
0.3, 0.05, 7716, 512
0.3, 0.05, 7980, 512
0.3, 0.05, 7868, 512
0.3, 0.05, 8140, 512
0.3, 0.05, 1956, 128
0.3, 0.05, 3224, 256
0.3, 0.05, 7252, 512
0.3, 0.05, 8028, 512
0.3, 0.05, 8936, 512
0.3, 0.1, 1532, 128
0.3, 0.1, 3696, 256
0.3, 0.1, 3904, 256
0.3, 0.1, 6800, 512
0.3, 0.1, 9752, 512
0.3, 0.1, 2696, 256
0.3, 0.1, 4360, 256
0.3, 0.1, 4288, 256
0.3, 0.1, 6460, 512
0.3, 0.1, 15372, 1024
0.3, 0.15, 3192, 256
0.3, 0.15, 7068, 512
0.3, 0.15, 10752, 1024
0.3, 0.15, 13168, 1024
0.3, 0.15, 15896, 1024
0.3, 0.15, 6000, 512
0.3, 0.15, 6036, 256
0.3, 0.15, 10660, 512
0.3, 0.15, 12620, 1024
0.3, 0.15, 17488, 1024
0.3, 0.2, 8088, 512
0.3, 0.2, 8348, 512
0.3, 0.2, 8968, 512
0.3, 0.2, 9108, 512
0.3, 0.2, 17572, 1024
0.3, 0.2, 10516, 1024
0.3, 0.2, 9804, 512
0.3, 0.2, 12040, 1024
0.3, 0.2, 13284, 1024
0.3, 0.2, 13588, 1024
0.3, 0.25, 7828, 512
0.3, 0.25, 14704, 1024
0.3, 0.25, 14588, 1024
0.3, 0.25, 26812, 2048
0.3, 0.25, 27532, 2048
0.3, 0.25, 7372, 512
0.3, 0.25, 8220, 512
0.3, 0.25, 13884, 1024
0.3, 0.25, 16332, 1024
0.3, 0.25, 17216, 1024
0.3, 0.3, 2872, 256
0.3, 0.3, 5132, 256
0.3, 0.3, 10812, 1024
0.3, 0.3, 16104, 1024
0.3, 0.3, 24296, 2048
0.3, 0.3, 7412, 512
0.3, 0.3, 10232, 1024
0.3, 0.3, 10440, 1024
0.3, 0.3, 16288, 1024
0.3, 0.3, 26480, 2048
0.3, 0.35, 11620, 1024
0.3, 0.35, 12900, 1024
0.3, 0.35, 14596, 1024
0.3, 0.35, 15504, 1024
0.3, 0.35, 20808, 1024
0.3, 0.35, 8064, 512
0.3, 0.35, 10808, 1024
0.3, 0.35, 9256, 512
0.3, 0.35, 10988, 512
0.3, 0.35, 16568, 1024
0.3, 0.4, 10652, 1024
0.3, 0.4, 16240, 1024
0.3, 0.4, 16560, 1024
0.3, 0.4, 34352, 2048
0.3, 0.4, 38068, 2048
0.3, 0.4, 11836, 1024
0.3, 0.4, 16132, 1024
0.3, 0.4, 16200, 1024
0.3, 0.4, 17024, 1024
0.3, 0.4, 17660, 1024
0.3, 0.45, 12064, 1024
0.3, 0.45, 12788, 1024
0.3, 0.45, 13248, 1024
0.3, 0.45, 27984, 2048
0.3, 0.45, 31852, 2048
0.3, 0.45, 7472, 512
0.3, 0.45, 12628, 1024
0.3, 0.45, 16480, 1024
0.3, 0.45, 24828, 2048
0.3, 0.45, 26636, 2048
0.3, 0.5, 6456, 512
0.3, 0.5, 7736, 512
0.3, 0.5, 13524, 1024
0.3, 0.5, 15320, 1024
0.3, 0.5, 24724, 2048
0.3, 0.5, 6972, 512
0.3, 0.5, 7520, 512
0.3, 0.5, 10492, 1024
0.3, 0.5, 11000, 1024
0.3, 0.5, 25024, 2048
0.3, 0.55, 3432, 256
0.3, 0.55, 12216, 1024
0.3, 0.55, 15840, 1024
0.3, 0.55, 15964, 1024
0.3, 0.55, 16740, 1024
0.3, 0.55, 5304, 512
0.3, 0.55, 6952, 512
0.3, 0.55, 10744, 512
0.3, 0.55, 15388, 1024
0.3, 0.55, 26824, 2048
0.3, 0.6, 10324, 1024
0.3, 0.6, 12248, 1024
0.3, 0.6, 16168, 1024
0.3, 0.6, 23768, 2048
0.3, 0.6, 49248, 4096
0.3, 0.6, 11844, 1024
0.3, 0.6, 16112, 1024
0.3, 0.6, 15700, 1024
0.3, 0.6, 27332, 2048
0.3, 0.6, 28220, 2048
0.3, 0.65, 7992, 512
0.3, 0.65, 13868, 1024
0.3, 0.65, 16160, 1024
0.3, 0.65, 23696, 2048
0.3, 0.65, 32412, 2048
0.3, 0.65, 12140, 1024
0.3, 0.65, 15316, 1024
0.3, 0.65, 15512, 1024
0.3, 0.65, 18020, 1024
0.3, 0.65, 25464, 2048
0.3, 0.7, 4856, 512
0.3, 0.7, 7032, 512
0.3, 0.7, 14000, 1024
0.3, 0.7, 15956, 1024
0.3, 0.7, 26816, 2048
0.3, 0.7, 12184, 1024
0.3, 0.7, 12552, 1024
0.3, 0.7, 16368, 1024
0.3, 0.7, 25988, 2048
0.3, 0.7, 28888, 2048
0.3, 0.75, 13324, 1024
0.3, 0.75, 14440, 1024
0.3, 0.75, 15460, 1024
0.3, 0.75, 15564, 1024
0.3, 0.75, 27220, 2048
0.3, 0.75, 11592, 1024
0.3, 0.75, 12004, 1024
0.3, 0.75, 12200, 1024
0.3, 0.75, 21432, 2048
0.3, 0.75, 27640, 2048
0.3, 0.8, 7272, 512
0.3, 0.8, 11764, 1024
0.3, 0.8, 12144, 1024
0.3, 0.8, 15408, 1024
0.3, 0.8, 16916, 1024
0.3, 0.8, 7168, 512
0.3, 0.8, 7344, 512
0.3, 0.8, 10644, 1024
0.3, 0.8, 15228, 1024
0.3, 0.8, 16340, 1024
0.3, 0.85, 7296, 512
0.3, 0.85, 7496, 512
0.3, 0.85, 8100, 512
0.3, 0.85, 11612, 1024
0.3, 0.85, 12020, 1024
0.3, 0.85, 1004, 64
0.3, 0.85, 16160, 1024
0.3, 0.85, 16480, 1024
0.3, 0.85, 25264, 2048
0.3, 0.85, 32492, 2048
0.3, 0.9, 7688, 512
0.3, 0.9, 11196, 1024
0.3, 0.9, 12156, 1024
0.3, 0.9, 16852, 1024
0.3, 0.9, 24608, 2048
0.3, 0.9, 12956, 1024
0.3, 0.9, 13288, 1024
0.3, 0.9, 14456, 1024
0.3, 0.9, 21664, 2048
0.3, 0.9, 22728, 2048
0.3, 0.95, 7872, 512
0.3, 0.95, 12544, 1024
0.3, 0.95, 14040, 1024
0.3, 0.95, 26036, 2048
0.3, 0.95, 35992, 2048
0.3, 0.95, 5844, 512
0.3, 0.95, 12088, 1024
0.3, 0.95, 13860, 1024
0.3, 0.95, 15788, 1024
0.3, 0.95, 25584, 2048
0.3, 1.0, 6444, 512
0.3, 1.0, 7092, 512
0.3, 1.0, 14420, 1024
0.3, 1.0, 15884, 1024
0.3, 1.0, 15756, 1024
0.3, 1.0, 7292, 512
0.3, 1.0, 13096, 1024
0.3, 1.0, 15872, 1024
0.3, 1.0, 15324, 1024
0.3, 1.0, 31816, 2048
